연도,월,주차,Target,y_pred_LinearRegression,y_pred_DecisionTreeRegressor,y_pred_RandomForestRegressor,y_pred_LGBMRegressor,y_pred_ExplainableBoostingRegressor
2023,1,1,37.0,38.12060546875,38.0,39.39,38.8661380296581,39.73587310664402
2023,1,2,35.0,34.4815673828125,38.0,37.73,36.47094988222391,43.77273817813086
2023,1,3,36.0,33.8916015625,32.0,34.76,36.19650598033735,33.89490994977048
2023,2,1,34.0,34.9002685546875,38.0,37.49,36.787964726172355,38.753154693900306
2023,2,2,32.0,33.912841796875,37.0,34.57,36.485460655127554,37.795112130832294
2023,2,3,35.0,31.2333984375,30.0,31.09,33.917688240250605,29.033625035164818
2023,2,4,37.0,35.7513427734375,32.0,36.25,37.4439420150511,38.48780325475717
2023,3,1,36.0,36.9942626953125,37.0,36.98,35.86196713714097,36.15366379944018
2023,3,2,34.0,35.9305419921875,38.0,36.92,35.17701055888222,30.958485736889806
2023,3,3,33.0,35.173828125,32.0,34.53,35.417410417302044,35.770671270421964
2023,3,4,34.0,33.9241943359375,29.0,31.38,32.5655219639124,34.37312755581069
2023,3,5,30.0,33.5462646484375,33.0,34.55,35.72453252209625,34.74643769775662
2023,4,1,31.0,29.2694091796875,29.0,30.84,32.79943266345357,31.204492760344024
2023,4,2,27.0,30.7060546875,30.0,30.64,32.206817268763984,34.76279965785514
2023,4,3,31.0,27.9163818359375,33.0,26.6,25.1013305488781,30.34672425056132
2023,4,4,30.0,32.6998291015625,29.0,31.4,31.4747076365879,35.111527282964005
2023,5,1,33.0,29.9427490234375,30.0,30.27,30.324103370292175,34.17965350531365
2023,5,2,35.0,34.0665283203125,31.0,31.43,33.25465536955071,32.943775033391894
2023,5,3,37.0,34.28955078125,32.0,34.55,35.29050271226495,33.35870273640862
2023,5,4,36.0,38.297119140625,40.0,38.28,38.19647523936895,36.41841289986447
2023,6,1,35.0,37.2493896484375,38.0,39.44,38.61267192868464,41.23310472437697
2023,6,3,35.0,34.829345703125,37.0,35.18,37.31478189696411,37.998187990920215
2023,6,4,36.0,34.3521728515625,32.0,36.15,36.028791209781645,35.475191572696644
2023,6,5,36.0,35.8858642578125,38.0,38.48,37.664158093690354,34.08403774659802
2023,7,1,38.0,35.462890625,38.0,38.03,36.55864229309795,37.07004198028558
2023,7,2,32.0,38.0679931640625,38.0,39.61,37.33859612048539,35.294506323258645
2023,7,3,33.0,33.1153564453125,29.0,31.29,31.865493863837074,33.38930921635876
2023,7,4,35.0,32.012939453125,36.0,31.66,30.978240218706233,31.72085762035571
2023,8,1,33.0,35.04052734375,30.0,35.7,36.84628052996505,33.58875172102389
2023,8,2,35.0,30.6939697265625,30.0,31.43,30.783459676298445,26.53491813707953
2023,8,4,34.0,36.332763671875,37.0,36.65,37.69645641050409,39.300790898089645
2023,8,5,33.0,33.7222900390625,32.0,33.87,35.469863471118686,33.38227577175493
