연도,월,주차,Target,y_pred_LinearRegression,y_pred_DecisionTreeRegressor,y_pred_RandomForestRegressor,y_pred_LGBMRegressor,y_pred_ExplainableBoostingRegressor
2023,1,1,37.0,38.11879348754883,38.39705882352941,38.6,38.61224119902027,40.7304799851266
2023,1,2,35.0,34.4780170917511,38.39705882352941,38.53421052631579,37.21212727600121,42.01088306172077
2023,1,3,36.0,33.88941693305969,34.30769230769231,34.463157894736845,35.42722261206066,35.070249236760105
2023,2,1,34.0,34.89528679847717,38.39705882352941,37.83684210526316,35.979135567319446,40.089188669812124
2023,2,2,32.0,33.91286635398865,34.30769230769231,33.73684210526316,35.39665311602999,38.23116473458415
2023,2,3,35.0,31.229843378067017,30.363636363636363,31.223684210526315,31.813936195582365,30.45479197435534
2023,2,4,37.0,35.751627922058105,34.30769230769231,34.77368421052632,37.44417208977779,34.871254293674156
2023,3,1,36.0,36.99392104148865,38.39705882352941,37.873684210526314,36.27556812655921,37.79586740850883
2023,3,2,34.0,35.93027997016907,38.39705882352941,37.742105263157896,36.63963475315816,33.938322100731966
2023,3,3,33.0,35.17151665687561,34.30769230769231,33.23157894736842,34.96104848232434,33.839291241153354
2023,3,4,34.0,33.92012286186218,30.363636363636363,31.676315789473684,34.208027334005074,33.50640654529591
2023,3,5,30.0,33.54417085647583,34.30769230769231,33.252631578947366,34.54868403939824,32.9267239066932
2023,4,1,31.0,29.26639413833618,30.363636363636363,31.207894736842107,30.963802550616332,32.947079434930494
2023,4,2,27.0,30.705045461654663,30.363636363636363,31.378947368421052,31.365548803722387,33.25429569216598
2023,4,3,31.0,27.915799617767334,25.127659574468087,25.96578947368421,26.967048957607687,27.280727651588332
2023,4,4,30.0,32.69523859024048,30.363636363636363,31.49473684210526,33.34207946775619,34.95324675071958
2023,5,1,33.0,29.939480781555176,30.363636363636363,30.621052631578948,30.125216447561044,31.36772370128615
2023,5,2,35.0,34.067182302474976,30.363636363636363,31.657894736842106,34.196019834208464,32.85152885609869
2023,5,3,37.0,34.2909471988678,34.30769230769231,34.607894736842105,34.969245532201434,33.56840656951732
2023,5,4,36.0,38.295382022857666,38.39705882352941,38.18421052631579,37.3006977733892,37.47234966457811
2023,6,1,35.0,37.24826622009277,38.39705882352941,38.56315789473684,38.847434656680534,38.02070931356084
2023,6,3,35.0,34.827816009521484,34.30769230769231,34.607894736842105,36.16252630812906,35.51334629711815
2023,6,4,36.0,34.35285806655884,34.30769230769231,34.71052631578947,35.787793986040796,35.169494997083234
2023,6,5,36.0,35.88370966911316,38.39705882352941,37.94210526315789,36.24601359916168,36.75572934119569
2023,7,1,38.0,35.4598708152771,38.39705882352941,37.857894736842105,35.59988056010084,38.112779702441294
2023,7,2,32.0,38.06857419013977,38.39705882352941,38.63947368421053,38.32831355849724,35.965479758719475
2023,7,3,33.0,33.11824607849121,30.363636363636363,31.63157894736842,31.277637622812982,33.814936882767675
2023,7,4,35.0,32.01276636123657,30.363636363636363,31.710526315789473,32.5035281402967,31.558949561888987
2023,8,1,33.0,35.041852712631226,34.30769230769231,34.73157894736842,36.50714241810396,33.55763200112413
2023,8,2,35.0,30.69299626350403,30.363636363636363,31.481578947368423,32.32431346234121,27.960421769968093
2023,8,4,34.0,36.33039832115173,34.30769230769231,35.03421052631579,37.25173244723103,37.570147528716696
2023,8,5,33.0,33.72088098526001,34.30769230769231,33.50526315789474,34.81540178666239,35.02916187533933
